Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff,Fight_ID,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,F1_media_votes,F2_media_votes,media_votes_draw,media_votes_count,media_votes_correct
2009-04-18,1652f3213655b935,3,Ryo Chonan,Tj Grant,0,1,0,31,75,53,101,2,2,549,2009-04-18 00:00:00,1,0,34,76,98,149,3,4,203,0,3,1,45,48,1,2,-346,1219,Nelson Hamilton,30-27,Claude Paquette,29-28,Cecil Peoples,28-29,0,2,0,2,True
2009-05-23,c4b6099f0d25f75e,3,Dave Kaplan,George Roop,0,1,0,50,105,98,158,5,14,314,2009-05-23 00:00:00,1,0,62,226,133,302,0,0,0,0,12,121,35,144,-5,-14,-314,1229,Sal D'Amato,30-27,Lester Griffin,30-27,Tony Weeks,28-29,2,1,0,3,True
2009-06-13,cb6783c39c01d896,3,Dan Hardy,Marcus Davis,1,1,1,28,61,73,109,1,1,266,2009-06-13 00:00:00,0,0,19,41,104,133,2,6,364,1,9,20,-31,-24,-1,-5,-98,1248,Douglas Crosby,29-28,Andy Roberts,28-29,Tony Weeks,29-28,6,0,0,6,True
2009-06-20,4908c5ee68a50ee5,3,Gleison Tibau,Melvin Guillard,0,1,0,14,50,72,115,6,14,513,2009-06-20 00:00:00,1,0,13,50,19,56,1,4,10,0,-1,0,-53,-59,-5,-10,-503,1259,Dave Hagen,29-28,Nelson Hamilton,28-29,Glenn Trowbridge,29-28,3,0,0,3,True
2009-06-20,4908c5ee68a50ee5,3,Brad Blackburn,Edgar Garcia,1,1,0,66,162,66,162,0,1,6,2009-06-20 00:00:00,0,0,39,185,39,185,1,3,7,0,27,-23,27,-23,-1,-2,-1,1258,Adalaide Byrd,28-29,Patricia Morse Jarman,29-28,Tony Weeks,29-28,0,3,0,3,True
2009-06-20,4908c5ee68a50ee5,3,Clay Guida,Diego Sanchez,0,1,0,29,96,57,130,2,7,476,2009-06-20 00:00:00,1,1,68,144,80,156,1,2,66,1,39,48,23,26,-1,-5,-410,1264,Nelson Hamilton,29-28,Patricia Morse Jarman,28-29,Glenn Trowbridge,29-27,0,5,1,6,True
2009-07-11,0ee783aa00e468f0,3,Alan Belcher,Yoshihiro Akiyama,0,1,1,76,156,76,156,0,0,44,2009-07-11 00:00:00,1,0,55,156,70,173,3,4,191,-1,-21,0,-6,17,3,4,147,1272,Adalaide Byrd,30-27,Douglas Crosby,28-29,Patricia Morse Jarman,29-28,0,5,0,5,True
2009-08-08,48d1f690b763934c,3,Alessio Sakara,Thales Leites,1,1,0,24,83,25,84,0,0,33,2009-08-08 00:00:00,0,0,22,102,35,120,4,12,161,0,2,-19,-10,-36,-4,-12,-128,1281,Jeff Blatnick,29-28,Nelson Hamilton,29-28,Cardo Urso,27-30,0,1,1,2,True
2009-08-08,48d1f690b763934c,3,John Howard,Tamdan Mccrory,1,1,0,19,37,58,78,5,7,507,2009-08-08 00:00:00,0,0,11,46,44,83,2,6,182,0,8,-9,14,-5,3,1,325,1282,Douglas Crosby,29-28,Brad Duruttya,28-29,Cardo Urso,29-28,1,1,0,2,True
2009-08-29,c6a33ff198aaaeeb,3,Mark Munoz,Nick Catone,1,1,0,53,102,75,127,2,12,248,2009-08-29 00:00:00,0,0,38,82,55,99,3,6,190,0,15,20,20,28,-1,6,58,1290,Ken Barringer,28-29,Marcos Rosales,30-27,Glenn Trowbridge,29-28,1,1,0,2,True
2009-08-29,c6a33ff198aaaeeb,3,Evan Dunham,Marcus Aurelio,1,1,1,58,161,70,175,1,1,61,2009-08-29 00:00:00,0,0,27,102,57,133,3,15,253,1,31,59,13,42,-2,-14,-192,1289,Lester Griffin,30-27,Nelson Hamilton,29-28,Jana Richmond,28-29,2,0,0,2,True
