Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Masanori Kanehara,Rani Yahya,6322,0,Michael Bell,29-28,Mike Beltran,29-28,Mark Smith,28-29
Chris Beal,Chris Kelades,6405,0,Sal D'Amato,29-28,Dr. Greg Jackson,29-28,David Therien,27-30
Paul Felder,Ross Pearson,6433,0,Adalaide Byrd,30-27,Derek Cleary,29-28,Cardo Urso,28-29
Joaquim Silva,Nazareno Malegarie,6428,1,Adalaide Byrd,30-27,Marcos Rosales,30-27,Cardo Urso,28-29
Andrew Holbrook,Ramsey Nijem,6358,1,Kelvin Caldwell,29-28,Brian Puccillo,28-29,Rick Winter,29-28
Frankie Saenz,Sirwan Kakai,6394,1,Richard Bertrand,30-27,Derek Cleary,28-29,Chris Lee,30-27
Alexander Gustafsson,Daniel Cormier,6500,0,Derek Cleary,47-48,Sal D'Amato,48-47,Kerry Hatley,49-46
Michel Prazeres,Valmir Lazaro,6611,1,Marcos Rosales,29-28,Roy Silbert,28-29,Cardo Urso,29-28
Michael Bisping,Thales Leites,6355,1,Mark Collett,49-46,Howard Hughes,48-47,Paul Sutherland,47-48
Mike de la Torre,Yui Chul Nam,6630,1,Evan Field,29-28,Barry Foley,28-29,Charlie Keech,29-28
Danny Castillo,Jim Miller,6361,0,Sal D'Amato,28-29,Brian Puccillo,29-28,Rick Winter,30-27
Beneil Dariush,Michael Johnson,6402,1,Richard Bertrand,29-28,Douglas Crosby,29-28,Sal D'Amato,28-29
Leo Kuntz,Tae Hyun Bang,6629,0,Mark Craig,28-29,Garth Harriman,29-28,Charlie Keech,29-28
Enrique Marin,Erick Montano,6620,0,Eric Colón,28-29,Roy Silbert,29-28,Cardo Urso,29-28
Henry Cejudo,Jussier Formiga,6621,1,Derek Cleary,30-27,Eric Colón,30-27,Roy Silbert,28-29
Alberto Mina,Yoshihiro Akiyama,6633,1,Mark Craig,28-29,Evan Field,29-28,Barry Foley,29-28
Ben Saunders,Kenny Robertson,6367,1,Kelvin Caldwell,29-28,Sal D'Amato,28-29,Rick Winter,29-28
Phillipe Nover,Zubaira Tukhugov,6661,0,Adalaide Byrd,28-29,Dave Hagen,30-27,Roy Silbert,30-27
Kelvin Gastelum,Neil Magny,6623,0,Eric Colón,48-47,Marcos Rosales,48-47,Cardo Urso,47-48
Benson Henderson,Jorge Masvidal,6635,1,Mark Craig,47-48,Barry Foley,48-47,Charlie Keech,49-46
Julian Erosa,Marcin Wrzosek,6676,1,Derek Cleary,28-29,Sal D'Amato,29-28,Dave Hagen,29-28
Albert Tumenov,Lorenz Larkin,6725,1,Adalaide Byrd,28-29,Derek Cleary,29-28,Junichiro Kamijo,29-28
Carlos Condit,Robbie Lawler,6727,0,Derek Cleary,48-47,Chris Lee,48-47,Tony Weeks,47-48
Alex Morono,Kyle Noke,6721,1,Sal D'Amato,29-28,Chris Lee,29-28,Patricia Morse Jarman,27-30
John Makdessi,Yancy Medeiros,6683,0,Sal D'Amato,28-29,Lester Griffin,29-28,Marcos Rosales,29-28
Danny Castillo,Nik Lentz,6700,0,Derek Cleary,29-28,Chris Lee,30-27,Barry Luxenberg,28-29
Sarah Kaufman,Valentina Shevchenko,6705,0,Don Balas,29-28,Hector Gomez,29-28,Barry Luxenberg,28-29
Desmond Green,Josh Emmett,7966,1,Douglas Crosby,29-28,Sal D'Amato,30-27,Dave Tirelli,28-29
David Branch,Krzysztof Jotko,8035,1,Jeff Mullen,29-28,Chris Reed,28-29,Troy Wincapaw,29-28
Demian Maia,Jorge Masvidal,8037,1,Sal D'Amato,29-28,Aladin Martinez,28-29,Jeff Mullen,29-28
Bobby Green,Rashid Magomedov,7985,0,Rob Francis,28-29,Brian Puccillo,29-28,Cardo Urso,29-28
Jeremy Stephens,Renato Moicano,7988,0,Brian Puccillo,29-28,Marcos Rosales,28-29,Tony Weeks,29-28
Joaquim Silva,Reza Madadi,8105,1,Andreas Grüner,28-29,Mans Nilsson,29-28,Andy Roberts,29-28
Kiichi Kunimoto,Zak Ottow,8138,0,Peter Hickmott,29-28,Luke Hill,28-29,Charlie Keech,29-28
Abdul Razak Alhassan,Omari Akhmedov,8110,0,Mans Nilsson,30-27,Andy Roberts,30-27,Jorgen Segerlind,28-29
