Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,Judge-1-Name,F1_Judge-1-Score,Judge-2-Name,F1_Judge-2-Score,Judge-3-Name,F1_Judge-3-Score,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Judge-1-Score,F2_Judge-2-Score,F2_Judge-3-Score,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff
2016-11-19,5cde96e0a1a1fffe,3,Sergio Moraes,Zak Ottow,1,1,Guilherme Bravo,29 - 28,Hallison Pontes,27 - 30,Joseph Terrell,27 - 30,0,35,91,53,109,1,3,244,2016-11-19 00:00:00,0,28 - 29,30 - 27,30 - 27,0,44,141,50,147,0,1,0,0,-9,-50,3,-38,1,2,244
2016-11-26,73e09f837f3b5ecc,3,Danielle Taylor,Seo Hee Ham,1,1,Anthony Dimitriou,28 - 29,Evan Field,30 - 27,Christopher Shen,30 - 27,0,45,162,45,162,0,2,0,2016-11-26 00:00:00,0,29 - 28,27 - 30,27 - 30,0,31,103,32,104,0,1,8,0,14,59,13,58,0,1,-8
2016-11-26,73e09f837f3b5ecc,3,Damien Brown,Jon Tuck,1,1,Anthony Dimitriou,29 - 28,Evan Field,28 - 29,Christopher Shen,28 - 29,0,34,130,40,136,0,1,0,2016-11-26 00:00:00,0,28 - 29,29 - 28,29 - 28,1,39,87,73,122,0,1,227,-1,-5,43,-33,14,0,0,-227
2016-11-26,73e09f837f3b5ecc,3,Andrew Holbrook,Jake Matthews,1,1,Anthony Dimitriou,29 - 28,Evan Field,28 - 29,Charlie Keech,29 - 28,0,30,53,80,106,2,2,173,2016-11-26 00:00:00,0,28 - 29,29 - 28,28 - 29,0,22,62,29,70,3,3,319,0,8,-9,51,36,-1,-1,-146
2016-12-03,bd4389b71fdc0ce2,3,Brandon Moreno,Ryan Benoit,1,1,Junichiro Kamijo,28 - 29,Jeff Mullen,29 - 28,Rick Winter,28 - 29,0,54,143,78,167,5,13,290,2016-12-03 00:00:00,0,29 - 28,28 - 29,29 - 28,1,23,93,25,95,0,1,16,-1,31,50,53,72,5,12,274
2016-12-03,bd4389b71fdc0ce2,3,Henry Cejudo,Joseph Benavidez,0,1,Derek Cleary,27 - 29,Marcos Rosales,30 - 26,Glenn Trowbridge,29 - 27,1,68,195,70,197,1,7,13,2016-12-03 00:00:00,1,29 - 27,26 - 30,27 - 29,0,69,232,69,232,0,0,1,-1,1,37,-1,35,-1,-7,-12
2016-12-10,6e3282d57d2467a0,3,Dustin Ortiz,Zach Makovsky,1,1,Patrick Buckley,29 - 28,Pasquale Procopio,28 - 29,David Therien,29 - 28,0,34,65,109,146,4,9,490,2016-12-10 00:00:00,0,28 - 29,29 - 28,28 - 29,0,21,44,29,52,4,10,127,0,13,21,80,94,0,-1,363
2016-12-10,6e3282d57d2467a0,3,Valerie Letourneau,Viviane Pereira,0,1,Eric Colon,28 - 29,Dr. Greg Jackson,29 - 28,Cardo Urso,28 - 29,0,47,153,69,175,1,1,106,2016-12-10 00:00:00,1,29 - 28,28 - 29,29 - 28,0,25,97,42,122,1,1,224,0,-22,-56,-27,-53,0,0,118
2016-12-17,32541eb5d12668b4,3,Bojan Velickovic,Sultan Aliev,0,1,Mike Guingona,29 - 28,Ron McCarthy,27 - 30,Brandon Saucedo,27 - 30,0,22,53,126,160,0,1,24,2016-12-17 00:00:00,1,28 - 29,30 - 27,30 - 27,0,15,26,86,105,2,3,552,0,-7,-27,-40,-55,2,2,528
2016-12-30,4b2390cfaceb91d8,3,Dong Hyun Kim,Tarec Saffiedine,1,1,Derek Cleary,30 - 27,Jeff Mullen,28 - 29,Glenn Trowbridge,28 - 29,0,36,107,64,138,3,8,317,2016-12-30 00:00:00,0,27 - 30,29 - 28,29 - 28,0,52,105,68,122,2,6,85,0,-16,2,-4,16,1,2,232
2017-01-15,46effbd1135423c5,3,Joe Lauzon,Marcin Held,1,1,Derek Cleary,30 - 27,Jeff Mullen,28 - 29,Marcos Rosales,28 - 29,0,20,62,44,86,1,2,97,2017-01-15 00:00:00,0,27 - 30,29 - 28,29 - 28,0,23,78,32,90,5,5,491,0,-3,-16,12,-4,-4,-3,-394
2017-01-15,46effbd1135423c5,3,Augusto Mendes,Frankie Saenz,1,1,Chris Flores,28 - 29,Brad Frank,29 - 28,Dennis O'Connell,29 - 28,0,42,109,74,142,4,9,132,2017-01-15 00:00:00,0,29 - 28,28 - 29,28 - 29,1,40,106,49,116,0,4,154,-1,2,3,25,26,4,5,-22
2017-01-28,4512e46543b960ad,3,Aljamain Sterling,Raphael Assuncao,0,1,Hale Hilsabeck,29 - 28,Ron Mann,28 - 29,Ben Ramirez,29 - 28,0,52,172,52,172,0,3,2,2017-01-28 00:00:00,1,28 - 29,29 - 28,28 - 29,0,39,101,39,101,0,0,0,0,-13,-71,-13,-71,0,-3,-2
2017-01-28,4512e46543b960ad,3,Alexandre Pantoja,Eric Shelton,1,1,Joe Garcia,28 - 29,Ron Mann,29 - 28,Ben Ramirez,28 - 29,0,37,99,67,135,1,3,230,2017-01-28 00:00:00,0,29 - 28,28 - 29,29 - 28,0,32,93,44,107,4,12,171,0,5,6,23,28,-3,-9,59
2017-02-04,6a8a06b542e1516d,3,Ovince Saint Preux,Volkan Oezdemir,0,1,Sal D'Amato,28 - 29,Joshua Ferraro,29 - 28,Joe Soliz,28 - 29,0,76,189,79,192,0,4,39,2017-02-04 00:00:00,1,29 - 28,28 - 29,29 - 28,0,82,182,103,204,0,1,84,0,6,-7,24,12,0,-3,45
2017-02-11,865aa315ea62c511,3,Phillipe Nover,Rick Glenn,0,1,Derek Cleary,27 - 30,Douglas Crosby,29 - 28,Sal D'Amato,29 - 28,0,50,102,108,165,0,2,0,2017-02-11 00:00:00,1,30 - 27,28 - 29,28 - 29,0,52,115,60,123,0,11,272,0,2,13,-48,-42,0,9,272
2017-02-19,b4ad3a06ee4d660c,3,Carla Esparza,Randa Markos,0,1,Hubert Earle,29 - 28,Robert MacAvoy,28 - 29,Don Robinson,28 - 29,0,32,132,37,137,4,10,166,2017-02-19 00:00:00,1,28 - 29,29 - 28,29 - 28,0,48,110,62,126,0,0,18,0,16,-22,25,-11,-4,-10,-148
2017-03-04,20e403a1acfef130,3,Albert Morales,Andre Soukhamthath,1,1,Sal D'Amato,28 - 29,Dave Hagen,29 - 28,Patricia Morse Jarman,28 - 29,0,56,132,79,172,1,3,282,2017-03-04 00:00:00,0,29 - 28,28 - 29,29 - 28,0,46,116,73,148,0,1,138,0,10,16,6,24,1,2,144
2017-03-04,20e403a1acfef130,3,Daniel Kelly,Rashad Evans,1,1,Derek Cleary,29 - 28,Dave Hagen,28 - 29,Chris Lee,29 - 28,0,74,193,92,215,0,8,11,2017-03-04 00:00:00,0,28 - 29,29 - 28,28 - 29,0,53,138,62,150,1,4,7,0,21,55,30,65,-1,4,4
2017-03-18,c0231720fe516994,3,Arnold Allen,Makwan Amirkhani,1,1,Mark Collett,29 - 28,Howard Hughes,27 - 30,Paul Sutherland,27 - 30,0,32,74,75,118,3,6,333,2017-03-18 00:00:00,0,28 - 29,30 - 27,30 - 27,0,17,46,32,65,4,12,338,0,15,28,43,53,-1,-6,-5
2017-03-18,c0231720fe516994,3,Brad Scott,Scott Askham,1,1,Ben Cartlidge,29 - 28,Takeo Kobayashi,28 - 29,Andy Roberts,28 - 29,1,72,175,74,177,0,0,77,2017-03-18 00:00:00,0,28 - 29,29 - 28,29 - 28,0,86,195,86,195,1,3,25,1,-14,-20,-12,-18,-1,-3,52
2017-03-18,c0231720fe516994,3,Daniel Omielanczuk,Timothy Johnson,0,1,Ben Cartlidge,29 - 28,Pawel Harasim,27 - 30,Takeo Kobayashi,28 - 29,0,54,93,94,136,0,2,35,2017-03-18 00:00:00,1,28 - 29,30 - 27,29 - 28,0,52,104,102,168,1,5,522,0,-2,11,8,32,1,3,487
2017-04-08,e7bfdb5e0112891e,3,Irene Aldana,Katlyn Chookagian,0,1,Derek Cleary,29 - 28,Eric Colon,29 - 28,Jeff Mullen,28 - 29,0,84,223,85,224,0,0,0,2017-04-08 00:00:00,1,28 - 29,28 - 29,29 - 28,0,105,273,106,274,0,11,18,0,21,50,21,50,0,11,18
2017-07-22,9f3d6ddef3d3cccc,3,Elizeu Zaleski dos Santos,Lyman Good,1,1,Douglas Crosby,27 - 30,Jeff Mullen,29 - 28,Cardo Urso,27 - 30,0,83,219,84,220,1,7,72,2017-07-22 00:00:00,0,30 - 27,28 - 29,30 - 27,0,75,165,89,182,1,1,37,0,8,54,-5,38,0,6,35
2017-07-22,9f3d6ddef3d3cccc,3,Darren Elkins,Dennis Bermudez,1,1,Douglas Crosby,28 - 29,Bryan Miner,29 - 28,Dave Tirelli,28 - 29,0,70,154,99,189,3,10,246,2017-07-22 00:00:00,0,29 - 28,28 - 29,29 - 28,0,69,160,101,194,1,6,156,0,1,-6,-2,-5,2,4,90
2017-07-22,9f3d6ddef3d3cccc,3,Gian Villante,Patrick Cummins,0,1,Sal D'Amato,28 - 29,Jeff Mullen,29 - 28,Dave Tirelli,28 - 29,0,72,196,85,210,0,0,0,2017-07-22 00:00:00,1,29 - 28,28 - 29,29 - 28,0,86,182,92,188,1,11,186,0,14,-14,7,-22,1,11,186
2017-09-16,1979c80150f630c4,3,Azunna Anyanwu,Justin Ledet,0,1,David Brogan,29 - 28,Eric Colon,28 - 29,Cardo Urso,28 - 29,0,37,84,37,84,0,0,0,2017-09-16 00:00:00,1,28 - 29,29 - 28,29 - 28,0,36,126,36,126,0,0,0,0,-1,42,-1,42,0,0,0
2018-05-12,67ec58d7cf599835,3,Jacare Souza,Kelvin Gastelum,0,1,Guilherme Bravo,29 - 28,Sal D'Amato,28 - 29,Chris Lee,29 - 28,0,64,115,78,129,1,9,208,2018-05-12 00:00:00,1,28 - 29,29 - 28,28 - 29,1,53,145,57,149,0,0,35,1,-11,30,-21,20,-1,-9,-173
2018-11-24,de25520d54eab12d,3,Martin Day,Pingyuan Liu,0,1,Mark Craig,28 - 29,Barry Foley,29 - 28,Garth Harriman,28 - 29,1,100,184,127,218,1,1,133,2018-11-24 00:00:00,1,29 - 28,28 - 29,29 - 28,1,55,133,73,155,0,4,285,0,-45,-51,-54,-63,-1,3,152
2018-12-08,2a74bbba57058f12,3,Jessica Eye,Katlyn Chookagian,1,1,Dr. Greg Jackson,28 - 29,Benoit Roussel,29 - 28,Declan Woods,28 - 29,0,81,190,83,192,0,3,20,2018-12-08 00:00:00,0,29 - 28,28 - 29,29 - 28,0,65,201,70,207,0,0,50,0,16,-11,13,-15,0,3,-30
2019-02-02,84283233ec42be5f,3,Bibulatov Magomed,Rogerio Bontorin,0,1,Michael Bell,29 - 28,Guilherme Bravo,28 - 29,Joseph Terrell,29 - 28,0,58,98,66,107,4,8,136,2019-02-02 00:00:00,1,28 - 29,29 - 28,28 - 29,0,40,77,52,89,1,3,178,0,-18,-21,-14,-18,-3,-5,42
2019-03-30,9649d75defe0dedb,3,Gerald Meerschaert,Kevin Holland,0,1,Greg Monskie,28 - 29,Dave Tirelli,29 - 28,Cardo Urso,27 - 30,0,10,13,44,56,6,11,552,2019-03-30 00:00:00,1,29 - 28,28 - 29,30 - 27,0,27,43,76,98,1,2,252,0,17,30,32,42,-5,-9,-300
