,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
527,Hakeem Dawodu,Zubaira Tukhugov,1,0,Ahmed Korchi,Anders Ohlsson,Dave Tirelli,29-28,30-27,28-29,1,1,0,5,0,0,0,1
528,Guram Kutateladze,Mateusz Gamrot,1,1,David Lethaby,Darryl Ransom,Victor Wolf,28-29,29-28,29-28,0,1,1,5,1,0,1,1
529,Geraldo De Freitas,Tony Gravely,0,0,Michael Bell,Sal D'Amato,Dave Hagen,29-28,28-29,30-27,1,0,1,2,1,1,0,1
530,Paul Felder,Rafael Dos Anjos,0,0,Derek Cleary,Sal D'Amato,Chris Lee,50-45,50-45,47-48,1,1,0,2,1,1,1,0
531,John Allan,Roman Dolidze,0,0,Michael Bell,Dave Hagen,Chris Lee,29-28,30-27,28-29,1,1,0,2,1,1,1,0
532,David Zawada,Ramazan Emeev,0,0,Michael Bell,Ben Cartlidge,David Lethaby,28-29,29-28,29-28,0,1,1,2,1,0,1,1
533,Carlos Felipe,Justin Tafa,1,0,Lukasz Bosacki,Anders Ohlsson,Paul Sutherland,29-28,28-29,29-28,1,0,1,3,0,0,1,0
534,Matt Schnell,Tyson Nam,1,1,Michael Bell,Eric Colón,Anders Ohlsson,29-28,28-29,29-28,1,0,1,3,1,1,0,1
535,Movsar Evloev,Nik Lentz,1,1,Ben Cartlidge,Eric Colón,Paul Sutherland,29-28,28-29,29-28,1,0,1,3,1,1,0,1
536,Beneil Dariush,Diego Ferreira,1,1,Dave Hagen,Chris Lee,Jerin Valel,29-28,29-28,28-29,1,1,0,4,1,1,1,0
537,Casey Kenney,Dominick Cruz,0,0,Michael Bell,Derek Cleary,Sal D'Amato,28-29,29-28,30-27,0,1,1,3,1,0,1,1
538,Cortney Casey,Jj Aldrich,0,1,Michael Bell,Sal D'Amato,Rick Winter,29-28,28-29,29-28,1,0,1,2,0,0,1,0
539,Manel Kape,Matheus Nicolau,0,1,Dave Hagen,Chris Lee,Bryan Miner,28-29,29-28,29-28,0,1,1,2,0,1,0,0
540,Michal Oleksiejczuk,Modestas Bukauskas,1,0,Eric Colón,Ron McCarthy,Tony Weeks,28-29,29-28,29-28,0,1,1,3,0,1,0,0
541,Ignacio Bahamondes,John Makdessi,0,0,Derek Cleary,Sal D'Amato,Dave Hagen,28-29,29-28,30-27,0,1,1,0,1,0,1,1
542,Hunter Azure,Jack Shore,0,0,Michael Bell,Sal D'Amato,Dave Hagen,30-27,30-27,28-29,1,1,0,2,1,1,1,0
543,Alexandr Romanov,Juan Espino,1,0,Dave Hagen,Chris Lee,Tony Weeks,29-28,28-29,29-28,1,0,1,4,0,0,1,0
544,Alexander Munoz,Luis Pena,0,1,Michael Bell,Sal D'Amato,Rick Winter,28-29,29-28,29-28,0,1,1,3,0,1,0,0
545,Justine Kish,Tracy Cortez,0,0,Derek Cleary,Sal D'Amato,Rick Winter,29-28,28-29,30-27,1,0,1,2,1,1,0,1
546,Jessica Penne,Lupita Godinez,1,0,Michael Bell,Derek Cleary,Rick Winter,29-28,29-28,28-29,1,1,0,5,0,0,0,1
547,Dwight Grant,Stefan Sekulic,1,0,Derek Cleary,Chris Lee,Howard Reichbach,28-29,29-28,29-28,0,1,1,5,0,1,0,0
548,Kai Kamaka,Tj Brown,0,1,Michael Bell,Adalaide Byrd,Sal D'Amato,29-28,27-30,29-28,1,0,1,3,0,0,1,0
549,Luana Carolina,Poliana Botelho,1,1,Sal D'Amato,Dave Hagen,Junichiro Kamijo,28-29,29-28,29-28,0,1,1,4,1,0,1,1
