,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
87,Gleison Tibau,Kurt Pellegrino,1,0,Douglas Crosby,Tony Tamburrino,Cardo Urso,29-28,28-29,29-28,1,0,1,4,0,0,1,0
88,John Hathaway,Kris Mccray,1,1,Randy Corley,Sal D'Amato,Lester Griffin,29-28,29-28,28-29,1,1,0,5,1,1,1,0
89,Chris Cariaso,Michael Mcdonald,0,0,Adalaide Byrd,Glenn Trowbridge,Tony Weeks,29-28,29-28,27-30,1,1,0,4,1,1,1,0
90,Clay Harvison,Justin Edwards,1,0,Douglas Crosby,Sal D'Amato,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,5,0,1,0,0
91,Consta Philippou,Jorge Rivera,1,1,Brad Duruttya,Ray Martin,Cardo Urso,29-28,28-29,29-28,1,0,1,4,1,1,0,1
92,Johny Hendricks,Mike Pierce,1,0,Wilfredo Cintron,Douglas Crosby,Kings Kao,29-28,28-29,29-28,1,0,1,3,0,0,1,0
93,Edson Barboza,Ross Pearson,1,0,Chris Lee,Andy Roberts,Paul Sutherland,29-28,29-28,28-29,1,1,0,3,0,0,0,1
94,Ian Loveland,Yves Jabouin,0,0,Douglas Crosby,Chris Lee,Andy Roberts,29-28,29-28,27-30,1,1,0,4,1,1,1,0
95,Anthony Pettis,Jeremy Stephens,1,1,Douglas Crosby,Danny Dealejandro,Charles Phillips,29-28,29-28,28-29,1,1,0,4,1,1,1,0
96,George Roop,Hatsu Hioki,0,1,Dave Hagen,Patricia Morse Jarman,Cecil Peoples,28-29,29-28,29-28,0,1,1,2,0,1,0,0
97,Chris Cariaso,Vaughan Lee,1,1,Mark Collett,Chris Watts,Rick Winter,29-28,29-28,28-29,1,1,0,5,1,1,1,0
98,Mike Pierce,Paul Bradley,1,1,Luis Cobian,Lester Griffin,Nelson Hamilton,29-28,28-29,30-27,1,0,1,3,1,1,0,1
99,Martin Kampmann,Rick Story,1,1,Steve English,Steve Morrow,Susan Thomas-Gitlin,30-27,29-28,28-29,1,1,0,4,1,1,1,0
100,Gleison Tibau,Rafael Dos Anjos,1,1,Steve English,Steve Morrow,Susan Thomas-Gitlin,28-29,29-28,30-27,0,1,1,4,1,0,1,1
101,Walel Watson,Yves Jabouin,0,0,Nelson Hamilton,Dr. Greg Jackson,David Therien,30-27,28-29,29-28,1,0,1,2,1,1,0,1
102,Brian Ebersole,Claude Patrick,1,0,Richard Bertrand,Sal D'Amato,Nelson Hamilton,29-28,29-28,28-29,1,1,0,4,0,0,0,1
103,Anthony Njokuani,Danny Castillo,0,0,Douglas Crosby,Patricia Morse Jarman,Mark Smith,29-28,28-29,29-28,1,0,1,2,1,1,0,1
104,Alex Caceres,Edwin Figueroa,0,1,Sal D'Amato,Chris Lee,Glenn Trowbridge,28-27,27-28,28-27,1,0,1,1,0,0,1,0
105,Henry Martinez,Matt Riddle,0,1,Junichiro Kamijo,Chris Lee,Cecil Peoples,29-28,29-28,28-29,1,1,0,3,0,0,0,1
106,Josh Koscheck,Mike Pierce,1,0,Jeff Collins,Sal D'Amato,Junichiro Kamijo,29-28,29-28,28-29,1,1,0,4,0,0,0,1
107,Aaron Simpson,Ronny Markes,0,0,Sal D'Amato,Steve Garrean,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,2,1,0,1,1
108,Chris Clements,Keith Wisniewski,1,1,Derek Cleary,Ken Coffey,Cardo Urso,29-28,28-29,30-27,1,0,1,5,1,1,0,1
109,Marcus Brimage,Maximo Blanco,1,1,Richard Bertrand,Chris Lee,Anthony Maness,30-27,29-28,28-29,1,1,0,4,1,1,1,0
110,Eddie Yagin,Mark Hominick,1,1,Chris Lee,Anthony Maness,Cardo Urso,29-28,29-28,28-29,1,1,0,0,1,1,1,0
111,Johny Hendricks,Josh Koscheck,1,1,Ricardo Almeida,Jeff Blatnick,Cardo Urso,28-29,29-28,29-28,0,1,1,4,1,0,1,1
112,Amir Sadollah,Jorge Lopez,1,0,Jeff Blatnick,Sal D'Amato,Cardo Urso,28-29,29-28,29-28,0,1,1,5,0,1,0,0
113,Bernardo Magalhaes,Henry Martinez,0,0,Ric Bays,Richard Davis,Chris Lee,28-29,29-28,30-27,0,1,1,4,1,0,1,1
114,Lance Benoist,Seth Baczynski,0,0,Hector Gomez,Rich Green,Barry Luxenberg,29-28,29-28,27-30,1,1,0,4,1,1,1,0
115,Clay Guida,Gray Maynard,0,1,Eric Colon,Sue Sanidad,Jose Tabora,48-47,48-47,47-48,1,1,0,3,0,0,0,1
116,Dustin Pague,Ken Stone,0,1,Jon Bilyk,Henry Krawiec,Carlos Rodriguez,29-28,29-28,28-29,1,1,0,3,0,0,0,1
117,Hugo Viana,John Macapa,1,1,Mark Collett,Howard Hughes,Rick Winter,29-28,29-28,28-29,1,1,0,3,1,1,1,0
118,Dan Stittgen,Marcelo Guimaraes,0,0,Ray Balewicz,Steve Morrow,Susan Thomas-Gitlin,29-28,28-29,29-28,1,0,1,2,1,1,0,1
119,Anton Kuivanen,Mitch Clarke,1,1,Richard Bertrand,Jeff Blatnick,Sal D'Amato,29-28,29-28,28-29,1,1,0,4,1,1,1,0
120,Brian Ebersole,James Head,0,0,Jeff Blatnick,Sal D'Amato,Chris Lee,29-28,28-29,29-28,1,0,1,1,1,1,0,1
121,Hector Lombard,Tim Boetsch,0,1,Richard Bertrand,Sal D'Amato,Chris Lee,28-29,29-28,29-28,0,1,1,4,0,1,0,0
122,Cole Miller,Nam Phan,0,0,Mike Beltran,Lester Griffin,Cecil Peoples,29-28,28-29,29-28,1,0,1,0,1,1,0,1
